reference,formula
F is to the right of A and to the left of B,"~ ~ RightOf ( f , a ) & LeftOf ( f , b )"
F is to the right of A and to the left of B,"RightOf ( f , a ) & LeftOf ( f , b )"
F is to the right of A and to the left of B,"RightOf ( b , f ) & LeftOf ( a , f )"
F is to the right of A and to the left of B,"LeftOf ( a , f ) & RightOf ( b , f )"
F is to the right of A and to the left of B,"LeftOf ( f , b ) & RightOf ( f , a )"
F is to the right of A and to the left of B,"LeftOf ( a , f ) & LeftOf ( f , b )"
F is to the right of A and to the left of B,"RightOf ( f , a ) & RightOf ( b , f )"
F is to the right of A and to the left of B,"~ ~ ( RightOf ( f , a ) & LeftOf ( f , b ) )"
"If A and D are both cubes, then one is to the left of the other","( ( Cube ( a ) & Cube ( d ) ) $ LeftOf ( a , d ) ) | LeftOf ( d , a )"
"If A and D are both cubes, then one is to the left of the other","( Cube ( a ) $ LeftOf ( a , d ) ) | ( Cube ( d ) $ LeftOf ( d , a ) )"
"If A and D are both cubes, then one is to the left of the other","( Cube ( a ) & Cube ( d ) ) $ ( LeftOf ( d , a ) | RightOf ( d , a ) )"
"If A and D are both cubes, then one is to the left of the other","( Cube ( a ) & Cube ( d ) ) $ ( LeftOf ( a , d ) | LeftOf ( d , a ) )"
"If A and D are both cubes, then one is to the left of the other","~ ( Cube ( a ) & Cube ( d ) ) | LeftOf ( a , d ) | LeftOf ( d , a )"
"If A and D are both cubes, then one is to the left of the other","( Cube ( d ) & Cube ( a ) ) $ ( LeftOf ( a , d ) | LeftOf ( d , a ) )"
"If A and D are both cubes, then one is to the left of the other","( Cube ( d ) & Cube ( a ) ) $ ( LeftOf ( d , a ) | LeftOf ( a , d ) )"
"If A and D are both cubes, then one is to the left of the other","( Cube ( a ) & Cube ( d ) ) $ ( RightOf ( a , d ) | LeftOf ( a , d ) )"
"If A and D are both cubes, then one is to the left of the other","( Cube ( a ) & Cube ( d ) ) $ ( LeftOf ( d , a ) | LeftOf ( a , d ) )"
"If A and D are both cubes, then one is to the left of the other","( Cube ( a ) & Cube ( d ) ) $ ( RightOf ( a , d ) | RightOf ( d , a ) )"
"If A and D are both cubes, then one is to the left of the other","( Cube ( a ) & Cube ( d ) ) $ ( LeftOf ( a , d ) | RightOf ( a , d ) )"
"If A and D are both cubes, then one is to the left of the other","( Cube ( a ) & Cube ( d ) ) $ ( LeftOf ( a , d ) | LeftOf ( d , a ) | LeftOf ( d , a ) )"
"If A and D are both cubes, then one is to the left of the other","( Cube ( a ) & Cube ( d ) ) $ ( LeftOf ( a , d ) | LeftOf ( a , d ) | LeftOf ( d , a ) )"
"If A is a cube and B is a dodecahedron, then A is to the left of B","( Dodec ( b ) & Cube ( a ) ) $ LeftOf ( a , b )"
"If A is a cube and B is a dodecahedron, then A is to the left of B","( Cube ( a ) & Dodec ( b ) ) $ LeftOf ( a , b )"
"If A is a cube and B is a dodecahedron, then A is to the left of B","Cube ( a ) $ ( Dodec ( b ) $ LeftOf ( a , b ) )"
"If A is a cube and B is a dodecahedron, then A is to the left of B","( Cube ( a ) & Dodec ( b ) ) $ RightOf ( b , a )"
"If A is a cube and B is a dodecahedron, then A is to the left of B","( Cube ( a ) & Dodec ( b ) ) $ ( LeftOf ( a , b ) & RightOf ( b , a ) )"
"If A is a cube and B is a dodecahedron, then A is to the left of B","~ ( Cube ( a ) & Dodec ( b ) ) | LeftOf ( a , b )"
"If A is a cube and B is a dodecahedron, then A is to the left of B","( Cube ( a ) & Dodec ( b ) & LeftOf ( a , b ) ) | ~ ( Cube ( a ) & Dodec ( b ) )"
"If A is a cube and B is a dodecahedron, then A is to the left of B","( Cube ( a ) & Dodec ( b ) ) $ ( Cube ( a ) & Dodec ( b ) & LeftOf ( a , b ) )"
If A is a tetrahedron then it is in front of D,"~ FrontOf ( a , d ) $ ~ Tet ( a )"
If A is a tetrahedron then it is in front of D,"Tet ( a ) $ FrontOf ( a , d )"
If A is a tetrahedron then it is in front of D,"( FrontOf ( a , d ) & Tet ( a ) ) | ~ Tet ( a )"
If A is a tetrahedron then it is in front of D,"~ Tet ( a ) | ( Tet ( a ) & FrontOf ( a , d ) )"
If A is a tetrahedron then it is in front of D,"Tet ( a ) $ ( Tet ( a ) & FrontOf ( a , d ) )"
If A is a tetrahedron then it is in front of D,"( Tet ( a ) & ~ FrontOf ( a , d ) ) $ ( ~ Tet ( a ) & FrontOf ( a , d ) )"
If A is a tetrahedron then it is in front of D,"Tet ( a ) $ BackOf ( d , a )"
If A is a tetrahedron then it is in front of D,"~ Tet ( a ) | FrontOf ( a , d )"
If A is a tetrahedron then it is in front of D,"( Tet ( a ) $ FrontOf ( a , d ) ) | ~ Tet ( a )"
"If A is a tetrahedron, then B is also a tetrahedron",Tet ( a ) $ ( Tet ( a ) & Tet ( b ) )
"If A is a tetrahedron, then B is also a tetrahedron",~ Tet ( a ) | Tet ( b )
"If A is a tetrahedron, then B is also a tetrahedron",~ Tet ( b ) $ ~ Tet ( a )
"If A is a tetrahedron, then B is also a tetrahedron",Tet ( a ) $ Tet ( b )
"If A is a tetrahedron, then B is also a tetrahedron",( Tet ( a ) & Tet ( b ) ) | ~ Tet ( a )
"If B and C are both cubes, then they are in the same row but not in the same column","( Cube ( b ) & Cube ( c ) ) $ ( SameRow ( b , c ) & ~ SameCol ( b , c ) & ~ SameCol ( b , c ) )"
"If B and C are both cubes, then they are in the same row but not in the same column","( Cube ( b ) & Cube ( c ) ) $ ( ~ SameCol ( b , c ) & SameRow ( c , b ) )"
"If B and C are both cubes, then they are in the same row but not in the same column","( Cube ( c ) & Cube ( b ) ) $ ~ ( SameCol ( b , c ) | ~ SameRow ( b , c ) )"
"If B and C are both cubes, then they are in the same row but not in the same column","( Cube ( b ) & Cube ( c ) ) $ ( SameRow ( c , b ) & ~ SameCol ( c , b ) )"
"If B and C are both cubes, then they are in the same row but not in the same column","( Cube ( b ) & Cube ( c ) ) $ ( ~ SameCol ( b , c ) & SameRow ( b , c ) )"
"If B and C are both cubes, then they are in the same row but not in the same column","( Cube ( b ) & Cube ( c ) ) $ ( ~ SameCol ( c , b ) & SameRow ( c , b ) )"
"If B and C are both cubes, then they are in the same row but not in the same column","( Cube ( b ) & Cube ( c ) ) $ ~ ( SameRow ( b , c ) $ SameCol ( b , c ) )"
"If B and C are both cubes, then they are in the same row but not in the same column","( Cube ( b ) & Cube ( c ) ) $ ( SameRow ( b , c ) & ~ SameCol ( b , c ) )"
"If B and C are both cubes, then they are in the same row but not in the same column","( Cube ( c ) & Cube ( b ) ) $ ( SameRow ( b , c ) & ~ SameCol ( b , c ) )"
"If B and C are both cubes, then they are in the same row but not in the same column","( Cube ( b ) & Cube ( c ) ) $ ~ ( ~ SameRow ( b , c ) | SameCol ( b , c ) )"
"If B and C are both cubes, then they are in the same row but not in the same column","( Cube ( c ) & Cube ( b ) ) $ ( SameRow ( b , c ) & ( ~ SameCol ( b , c ) | ~ SameCol ( c , b ) ) )"
"If B and C are both cubes, then they are in the same row but not in the same column","( Cube ( b ) & Cube ( c ) ) $ ( SameRow ( b , c ) & ~ SameCol ( c , b ) )"
"If B and C are both cubes, then they are in the same row but not in the same column","( Cube ( c ) & Cube ( b ) ) $ ( SameRow ( c , b ) & ~ SameCol ( c , b ) )"
"If B and C are both cubes, then they are in the same row but not in the same column","( Cube ( c ) & Cube ( b ) ) $ ( SameRow ( c , b ) & ~ SameCol ( b , c ) )"
"If B and C are both cubes, then they are in the same row but not in the same column","( Cube ( c ) & Cube ( b ) ) $ ( SameRow ( b , c ) & ~ SameCol ( c , b ) )"
"If B and C are both cubes, then they are in the same row but not in the same column","~ ( Cube ( b ) & Cube ( c ) ) | ( SameRow ( b , c ) & ~ SameCol ( b , c ) )"
"If B and C are both cubes, then they are in the same row but not in the same column","( Cube ( b ) & Cube ( c ) ) $ ( Cube ( b ) & Cube ( c ) & SameRow ( b , c ) & ~ SameCol ( b , c ) )"
"If B and C are both cubes, then they are in the same row but not in the same column","( Cube ( b ) & Cube ( c ) ) $ ( SameRow ( c , b ) & ~ SameCol ( b , c ) )"
"If B is a dodecahedron, then if it isn't in front of D then it isn't in back of D either","( ~ FrontOf ( b , d ) & Dodec ( b ) ) $ ~ BackOf ( b , d )"
"If B is a dodecahedron, then if it isn't in front of D then it isn't in back of D either","Dodec ( b ) $ ( ( Dodec ( b ) $ ~ FrontOf ( b , d ) ) $ ~ BackOf ( b , d ) )"
"If B is a dodecahedron, then if it isn't in front of D then it isn't in back of D either","Dodec ( b ) $ ( ~ FrontOf ( b , d ) $ ( ~ FrontOf ( d , b ) & ~ BackOf ( d , b ) ) )"
"If B is a dodecahedron, then if it isn't in front of D then it isn't in back of D either","Dodec ( b ) $ ~ ( ~ FrontOf ( b , d ) & BackOf ( b , d ) )"
"If B is a dodecahedron, then if it isn't in front of D then it isn't in back of D either","( ~ FrontOf ( b , d ) & Dodec ( b ) ) $ ( ~ BackOf ( b , d ) & Dodec ( b ) )"
"If B is a dodecahedron, then if it isn't in front of D then it isn't in back of D either","Dodec ( b ) $ ( ~ FrontOf ( b , d ) $ ( ~ FrontOf ( b , d ) & ~ BackOf ( b , d ) ) )"
"If B is a dodecahedron, then if it isn't in front of D then it isn't in back of D either","Dodec ( b ) $ ~ ( FrontOf ( d , b ) & ~ BackOf ( d , b ) )"
"If B is a dodecahedron, then if it isn't in front of D then it isn't in back of D either","Dodec ( b ) $ ( ~ FrontOf ( b , d ) $ ~ ( FrontOf ( b , d ) | BackOf ( b , d ) ) )"
"If B is a dodecahedron, then if it isn't in front of D then it isn't in back of D either","~ Dodec ( b ) | FrontOf ( b , d ) | ~ BackOf ( b , d )"
"If B is a dodecahedron, then if it isn't in front of D then it isn't in back of D either","Dodec ( b ) $ ( FrontOf ( d , b ) $ BackOf ( d , b ) )"
"If B is a dodecahedron, then if it isn't in front of D then it isn't in back of D either","( Dodec ( b ) $ ~ FrontOf ( b , d ) ) $ ( Dodec ( b ) $ ~ BackOf ( b , d ) )"
"If B is a dodecahedron, then if it isn't in front of D then it isn't in back of D either","Dodec ( b ) $ ( ~ FrontOf ( b , d ) $ ~ FrontOf ( d , b ) )"
"If B is a dodecahedron, then if it isn't in front of D then it isn't in back of D either","~ Dodec ( b ) | ( BackOf ( b , d ) $ FrontOf ( b , d ) )"
"If B is a dodecahedron, then if it isn't in front of D then it isn't in back of D either","BackOf ( b , d ) $ ( Dodec ( b ) $ FrontOf ( b , d ) )"
"If B is a dodecahedron, then if it isn't in front of D then it isn't in back of D either","FrontOf ( d , b ) $ ( Dodec ( b ) $ BackOf ( d , b ) )"
"If B is a dodecahedron, then if it isn't in front of D then it isn't in back of D either","~ FrontOf ( b , d ) $ ( Dodec ( b ) $ ~ BackOf ( b , d ) )"
"If B is a dodecahedron, then if it isn't in front of D then it isn't in back of D either","( Dodec ( b ) & ~ FrontOf ( b , d ) ) $ ( Dodec ( b ) & ~ BackOf ( b , d ) )"
"If B is a dodecahedron, then if it isn't in front of D then it isn't in back of D either","Dodec ( b ) $ ( ~ FrontOf ( b , d ) $ ~ BackOf ( b , d ) )"
"If B is a dodecahedron, then if it isn't in front of D then it isn't in back of D either","~ ( Dodec ( b ) $ FrontOf ( b , d ) ) $ ~ BackOf ( b , d )"
"If B is a dodecahedron, then if it isn't in front of D then it isn't in back of D either","Dodec ( b ) $ ( ( ~ FrontOf ( b , d ) & ~ BackOf ( b , d ) ) | FrontOf ( b , d ) )"
"If B is a dodecahedron, then if it isn't in front of D then it isn't in back of D either","~ FrontOf ( b , d ) $ ( Dodec ( b ) $ ( ~ BackOf ( b , d ) & ~ FrontOf ( b , d ) ) )"
"If B is a dodecahedron, then if it isn't in front of D then it isn't in back of D either","Dodec ( b ) $ ( BackOf ( b , d ) $ FrontOf ( b , d ) )"
"If B is a dodecahedron, then if it isn't in front of D then it isn't in back of D either","Dodec ( b ) $ ( FrontOf ( b , d ) | ~ BackOf ( b , d ) )"
"If B is a dodecahedron, then if it isn't in front of D then it isn't in back of D either","Dodec ( b ) $ ( ( ~ FrontOf ( b , d ) & Dodec ( b ) ) $ ~ BackOf ( b , d ) )"
"If B is a dodecahedron, then if it isn't in front of D then it isn't in back of D either","~ ( Dodec ( b ) & FrontOf ( b , d ) ) $ ~ ( Dodec ( b ) & BackOf ( b , d ) )"
"If B is a dodecahedron, then if it isn't in front of D then it isn't in back of D either","( Dodec ( b ) & ~ FrontOf ( b , d ) ) $ ( ~ BackOf ( b , d ) & ~ FrontOf ( b , d ) )"
"If B is a dodecahedron, then if it isn't in front of D then it isn't in back of D either","( Dodec ( b ) & ~ FrontOf ( b , d ) ) $ ~ BackOf ( b , d )"
"If B is a dodecahedron, then if it isn't in front of D then it isn't in back of D either","Dodec ( b ) $ ( ~ BackOf ( d , b ) $ ~ FrontOf ( d , b ) )"
"If B is a dodecahedron, then if it isn't in front of D then it isn't in back of D either","Dodec ( b ) $ ( FrontOf ( b , d ) | ( ~ FrontOf ( b , d ) & ~ BackOf ( b , d ) ) )"
"If B is a dodecahedron, then if it isn't in front of D then it isn't in back of D either","~ Dodec ( b ) | ~ ~ FrontOf ( b , d ) | ~ BackOf ( b , d )"
"If B is a dodecahedron, then if it isn't in front of D then it isn't in back of D either","( Dodec ( b ) & BackOf ( b , d ) ) $ FrontOf ( b , d )"
"If B is a tetrahedron, then D isn't",( Tet ( b ) $ ~ Tet ( d ) ) | ( Tet ( d ) $ ~ Tet ( b ) )
"If B is a tetrahedron, then D isn't",( Tet ( b ) $ ~ Tet ( d ) ) & ( Tet ( d ) $ ~ Tet ( b ) )
"If B is a tetrahedron, then D isn't",Tet ( b ) $ ~ Tet ( d )
"If B is a tetrahedron, then D isn't",~ ( Tet ( b ) & Tet ( d ) )
"If B is a tetrahedron, then D isn't",~ Tet ( b ) | ~ Tet ( d )
"If B is a tetrahedron, then D isn't",Tet ( b ) $ ( Tet ( b ) & ~ Tet ( d ) )
"If B is a tetrahedron, then D isn't",( Tet ( b ) & ~ Tet ( d ) ) | ~ Tet ( b )
"If B is a tetrahedron, then D isn't",Tet ( d ) $ ~ Tet ( b )
"If B is a tetrahedron, then D isn't",~ ( Tet ( d ) & Tet ( b ) )
"If B is neither to the right nor left of D, then one of them is a tetrahedron","( ~ LeftOf ( b , d ) & ~ RightOf ( b , d ) ) $ ( Tet ( b ) | Tet ( d ) )"
"If B is neither to the right nor left of D, then one of them is a tetrahedron","( ~ RightOf ( b , d ) & ~ RightOf ( d , b ) ) $ ( Tet ( d ) | Tet ( b ) )"
"If B is neither to the right nor left of D, then one of them is a tetrahedron","~ ( LeftOf ( b , d ) | LeftOf ( d , b ) ) $ ( Tet ( d ) | Tet ( b ) )"
"If B is neither to the right nor left of D, then one of them is a tetrahedron","( ~ LeftOf ( d , b ) & ~ RightOf ( d , b ) ) $ ( Tet ( d ) | Tet ( b ) )"
"If B is neither to the right nor left of D, then one of them is a tetrahedron","~ ( ~ RightOf ( b , d ) & ~ LeftOf ( b , d ) ) | Tet ( b ) | Tet ( d )"
"If B is neither to the right nor left of D, then one of them is a tetrahedron","RightOf ( b , d ) | LeftOf ( b , d ) | Tet ( b ) | Tet ( d )"
"If B is neither to the right nor left of D, then one of them is a tetrahedron","( ~ LeftOf ( d , b ) & ~ RightOf ( d , b ) ) $ ( Tet ( b ) | Tet ( d ) )"
"If B is neither to the right nor left of D, then one of them is a tetrahedron","( ~ RightOf ( d , b ) & ~ LeftOf ( d , b ) ) $ ( Tet ( b ) | Tet ( d ) )"
"If B is neither to the right nor left of D, then one of them is a tetrahedron","~ ( RightOf ( b , d ) | LeftOf ( b , d ) ) $ ( Tet ( b ) | Tet ( d ) )"
"If B is neither to the right nor left of D, then one of them is a tetrahedron","~ ( RightOf ( d , b ) | LeftOf ( d , b ) ) $ ( Tet ( b ) | Tet ( d ) )"
"If B is neither to the right nor left of D, then one of them is a tetrahedron","~ ( RightOf ( b , d ) | RightOf ( d , b ) ) $ ( Tet ( b ) | Tet ( d ) )"
"If B is neither to the right nor left of D, then one of them is a tetrahedron","~ ( LeftOf ( b , d ) | RightOf ( b , d ) ) $ ( Tet ( b ) | Tet ( d ) )"
"If B is neither to the right nor left of D, then one of them is a tetrahedron","( ~ RightOf ( b , d ) & ~ RightOf ( d , b ) ) $ ( Tet ( b ) | Tet ( d ) )"
"If B is neither to the right nor left of D, then one of them is a tetrahedron","( ~ RightOf ( d , b ) & ~ LeftOf ( d , b ) ) $ ( Tet ( d ) | Tet ( b ) )"
"If B is neither to the right nor left of D, then one of them is a tetrahedron","( ~ LeftOf ( b , d ) & ~ LeftOf ( d , b ) ) $ ( Tet ( d ) | Tet ( b ) )"
"If B is neither to the right nor left of D, then one of them is a tetrahedron","( ~ LeftOf ( b , d ) & ~ RightOf ( b , d ) ) $ ( Tet ( d ) | Tet ( b ) )"
"If B is neither to the right nor left of D, then one of them is a tetrahedron","( ~ LeftOf ( b , d ) & ~ LeftOf ( d , b ) ) $ ( Tet ( b ) | Tet ( d ) )"
"If B is neither to the right nor left of D, then one of them is a tetrahedron","~ ( LeftOf ( b , d ) | LeftOf ( d , b ) ) $ ( Tet ( b ) | Tet ( d ) )"
"If B is neither to the right nor left of D, then one of them is a tetrahedron","~ ( LeftOf ( b , d ) | RightOf ( b , d ) ) $ ( Tet ( d ) | Tet ( b ) )"
"If B is neither to the right nor left of D, then one of them is a tetrahedron","~ ~ ( RightOf ( b , d ) | LeftOf ( b , d ) ) | Tet ( b ) | Tet ( d )"
"If B is neither to the right nor left of D, then one of them is a tetrahedron","( ~ RightOf ( b , d ) & ~ LeftOf ( b , d ) ) $ ( Tet ( d ) | Tet ( b ) )"
"If B is neither to the right nor left of D, then one of them is a tetrahedron","~ ( Tet ( b ) | Tet ( d ) ) $ ( RightOf ( b , d ) | LeftOf ( b , d ) )"
"If B is neither to the right nor left of D, then one of them is a tetrahedron","~ ( RightOf ( b , d ) | RightOf ( d , b ) ) $ ( Tet ( d ) | Tet ( b ) )"
"If B is neither to the right nor left of D, then one of them is a tetrahedron","~ ( LeftOf ( d , b ) | RightOf ( d , b ) ) $ ( Tet ( d ) | Tet ( b ) )"
"If B is neither to the right nor left of D, then one of them is a tetrahedron","~ ( LeftOf ( d , b ) | LeftOf ( b , d ) ) $ ( Tet ( b ) | Tet ( d ) )"
"If B is neither to the right nor left of D, then one of them is a tetrahedron","~ ( LeftOf ( d , b ) | RightOf ( d , b ) ) $ ( Tet ( b ) | Tet ( d ) )"
"If B is neither to the right nor left of D, then one of them is a tetrahedron","~ ( LeftOf ( d , b ) | LeftOf ( b , d ) ) $ ( Tet ( d ) | Tet ( b ) )"
"If B is neither to the right nor left of D, then one of them is a tetrahedron","~ ( RightOf ( b , d ) | LeftOf ( b , d ) ) $ ( Tet ( d ) | Tet ( b ) )"
"If B is neither to the right nor left of D, then one of them is a tetrahedron","~ ( RightOf ( d , b ) | LeftOf ( d , b ) ) $ ( Tet ( d ) | Tet ( b ) )"
"If B is neither to the right nor left of D, then one of them is a tetrahedron","( ~ LeftOf ( b , d ) & ~ RightOf ( b , d ) ) $ ~ ( ~ Tet ( b ) & ~ Tet ( d ) )"
"If B is neither to the right nor left of D, then one of them is a tetrahedron","( ~ RightOf ( b , d ) & ~ LeftOf ( b , d ) ) $ ( Tet ( b ) | Tet ( d ) )"
"If B is neither to the right nor left of D, then one of them is a tetrahedron","~ ( Tet ( b ) | Tet ( d ) ) $ ( LeftOf ( d , b ) | LeftOf ( b , d ) )"
"If C is small and D is a dodecahedron, then D is neither large nor small",Small ( c ) $ ( Dodec ( d ) $ ( ~ Large ( d ) & ~ Small ( d ) ) )
"If C is small and D is a dodecahedron, then D is neither large nor small",( Dodec ( d ) & Small ( c ) ) $ ( ~ Small ( d ) & ~ Large ( d ) )
"If C is small and D is a dodecahedron, then D is neither large nor small",( Dodec ( d ) & Small ( c ) ) $ ( ~ Large ( d ) & ~ Small ( d ) )
"If C is small and D is a dodecahedron, then D is neither large nor small",( Dodec ( d ) & Small ( c ) ) $ ~ ( Small ( d ) | Large ( d ) )
"If C is small and D is a dodecahedron, then D is neither large nor small",~ ~ ( Small ( c ) & Dodec ( d ) ) $ ~ ( Large ( d ) | Small ( d ) )
"If C is small and D is a dodecahedron, then D is neither large nor small",( Large ( d ) | Small ( d ) ) $ ~ ( Small ( c ) & Dodec ( d ) )
"If C is small and D is a dodecahedron, then D is neither large nor small",( Small ( c ) & Dodec ( d ) ) $ ~ ( Small ( d ) | Large ( d ) )
"If C is small and D is a dodecahedron, then D is neither large nor small",( Small ( c ) & Dodec ( d ) ) $ ( ~ Large ( d ) & ~ Small ( d ) )
"If C is small and D is a dodecahedron, then D is neither large nor small",~ ( Small ( c ) & Dodec ( d ) ) | ( ~ Small ( d ) & ~ Large ( d ) )
"If C is small and D is a dodecahedron, then D is neither large nor small",( Small ( c ) & Dodec ( d ) ) $ ~ ( Large ( d ) | Small ( d ) )
"If C is small and D is a dodecahedron, then D is neither large nor small",~ ( Small ( c ) & Dodec ( d ) ) | ( ~ Large ( d ) & ~ Small ( d ) )
"If C is small and D is a dodecahedron, then D is neither large nor small",( Small ( c ) & Dodec ( d ) ) $ ( ~ Small ( d ) & ~ Large ( d ) )
"If C is small and D is a dodecahedron, then D is neither large nor small",( Small ( c ) & Dodec ( d ) & ~ ( Large ( d ) | Small ( d ) ) ) | ~ Small ( c ) | ~ Dodec ( d )
"If E isn't a cube, either B or D is large.",( ~ Cube ( e ) $ Large ( d ) ) | ( ~ Cube ( e ) $ Large ( b ) )
"If E isn't a cube, either B or D is large.",( ~ Cube ( e ) | Large ( b ) ) $ ( Large ( b ) | Large ( d ) )
"If E isn't a cube, either B or D is large.",~ ( Large ( d ) | Large ( b ) ) $ Cube ( e )
"If E isn't a cube, either B or D is large.",~ Cube ( e ) $ ( Large ( b ) | ( ~ Large ( b ) & Large ( d ) ) )
"If E isn't a cube, either B or D is large.",~ ~ Cube ( e ) | Large ( b ) | Large ( d )
"If E isn't a cube, either B or D is large.",~ ( ~ Cube ( e ) & ~ ( Large ( b ) | Large ( d ) ) )
"If E isn't a cube, either B or D is large.",( ~ Cube ( e ) & ( Large ( b ) | Large ( d ) ) ) | Cube ( e )
"If E isn't a cube, either B or D is large.",Cube ( e ) | Large ( b ) | Large ( d )
"If E isn't a cube, either B or D is large.",( ~ Cube ( e ) $ Large ( b ) ) | Large ( d )
"If E isn't a cube, either B or D is large.",~ Cube ( e ) $ ( Large ( d ) | Large ( b ) )
"If E isn't a cube, either B or D is large.",~ Cube ( e ) $ ( ~ Large ( b ) $ Large ( d ) )
"If E isn't a cube, either B or D is large.",~ Cube ( e ) $ ( ~ Large ( d ) $ Large ( b ) )
"If E isn't a cube, either B or D is large.",~ Cube ( e ) $ ( Large ( b ) | Large ( b ) | Large ( d ) )
"If E isn't a cube, either B or D is large.",~ ( Large ( b ) | Large ( d ) ) $ Cube ( e )
"If E isn't a cube, either B or D is large.",( ~ Cube ( e ) $ Large ( b ) ) | ( ~ Cube ( e ) $ Large ( d ) )
"If E isn't a cube, either B or D is large.",( ~ Large ( b ) & ~ Large ( d ) ) $ Cube ( e )
"If E isn't a cube, either B or D is large.",~ Cube ( e ) $ ( Large ( b ) | Large ( d ) )
"If E isn't a cube, either B or D is large.",Large ( b ) | Large ( d ) | Cube ( e )
It is not the case that B is in the same row as C,"FrontOf ( c , b ) | FrontOf ( b , c )"
It is not the case that B is in the same row as C,"~ SameRow ( b , c ) & ~ SameRow ( c , b )"
It is not the case that B is in the same row as C,"BackOf ( c , b ) | BackOf ( b , c )"
It is not the case that B is in the same row as C,"FrontOf ( b , c ) | FrontOf ( c , b )"
It is not the case that B is in the same row as C,"FrontOf ( b , c ) | BackOf ( b , c )"
It is not the case that B is in the same row as C,"~ ~ ~ SameRow ( b , c )"
It is not the case that B is in the same row as C,"BackOf ( b , c ) | FrontOf ( b , c )"
It is not the case that B is in the same row as C,"~ SameRow ( b , c )"
It is not the case that B is in the same row as C,"~ ( SameRow ( b , c ) & SameRow ( b , c ) )"
It is not the case that B is in the same row as C,"~ ( SameRow ( b , c ) & SameRow ( c , b ) )"
It is not the case that B is in the same row as C,"( FrontOf ( b , c ) & BackOf ( c , b ) ) | ( FrontOf ( c , b ) & BackOf ( b , c ) )"
It is not the case that B is in the same row as C,"~ SameRow ( c , b )"
It is not the case that B is in the same row as C,"BackOf ( b , c ) | BackOf ( c , b )"
It is not the case that B is in the same row as C,"~ ( SameRow ( b , c ) | SameRow ( c , b ) )"
Max is a student,Student ( max )
Max is a student if and only if Claire is not,( Student ( max ) $ ~ Student ( claire ) ) & ( ~ Student ( max ) $ Student ( claire ) )
Max is a student if and only if Claire is not,( ~ Student ( claire ) $ Student ( max ) ) & ( Student ( claire ) $ ~ Student ( max ) )
Max is a student if and only if Claire is not,( Student ( max ) $ ~ Student ( claire ) ) & ( ~ Student ( claire ) $ Student ( max ) )
Max is a student if and only if Claire is not,( Student ( claire ) $ ~ Student ( max ) ) & ( ~ Student ( claire ) $ Student ( max ) )
Max is a student if and only if Claire is not,( Student ( max ) & ~ Student ( claire ) ) | ( ~ Student ( max ) & Student ( claire ) )
"Max is a student, not a pet",~ Pet ( max ) & Student ( max )
"Max is a student, not a pet",~ ( ~ Student ( max ) | Pet ( max ) )
"Max is a student, not a pet",Student ( max ) & ~ Pet ( max )
Neither D nor C is in front of either C or B,"~ FrontOf ( d , c ) & ~ FrontOf ( d , b ) & ~ BackOf ( b , c )"
Neither D nor C is in front of either C or B,"~ ( FrontOf ( d , c ) | FrontOf ( c , b ) ) & ~ FrontOf ( d , b )"
Neither D nor C is in front of either C or B,"~ ( FrontOf ( d , b ) | FrontOf ( d , c ) ) & ~ ( FrontOf ( c , c ) | FrontOf ( c , b ) )"
Neither D nor C is in front of either C or B,"~ FrontOf ( d , c ) & ~ FrontOf ( c , b ) & ~ FrontOf ( d , b ) & ~ FrontOf ( d , c )"
Neither D nor C is in front of either C or B,"~ ( FrontOf ( c , b ) | FrontOf ( c , c ) | FrontOf ( d , c ) | FrontOf ( d , b ) )"
Neither D nor C is in front of either C or B,"~ FrontOf ( d , b ) & ~ FrontOf ( c , b ) & ~ FrontOf ( d , c )"
Neither D nor C is in front of either C or B,"~ ( FrontOf ( c , b ) | FrontOf ( d , c ) | FrontOf ( d , b ) | FrontOf ( c , c ) )"
Neither D nor C is in front of either C or B,"~ ( FrontOf ( d , b ) | FrontOf ( d , c ) | FrontOf ( c , b ) )"
Neither D nor C is in front of either C or B,"~ FrontOf ( d , b ) & ~ FrontOf ( c , b ) & ~ FrontOf ( d , c ) & ~ FrontOf ( c , c )"
Neither D nor C is in front of either C or B,"~ ( FrontOf ( d , c ) | FrontOf ( c , c ) ) & ~ ( FrontOf ( c , b ) | FrontOf ( d , b ) )"
Neither D nor C is in front of either C or B,"~ FrontOf ( c , b ) & ~ ( FrontOf ( d , c ) | FrontOf ( d , b ) )"
Neither D nor C is in front of either C or B,"~ ( FrontOf ( c , b ) | FrontOf ( d , c ) | FrontOf ( d , b ) )"
Neither D nor C is in front of either C or B,"~ ( FrontOf ( d , c ) | FrontOf ( c , b ) | FrontOf ( d , b ) | FrontOf ( d , c ) )"
Neither D nor C is in front of either C or B,"~ FrontOf ( d , b ) & ~ FrontOf ( d , c ) & ~ FrontOf ( c , b ) & ~ FrontOf ( c , c )"
Neither D nor C is in front of either C or B,"~ ( FrontOf ( d , b ) | FrontOf ( d , c ) | FrontOf ( c , c ) | FrontOf ( c , b ) )"
Neither D nor C is in front of either C or B,"~ FrontOf ( d , c ) & ~ ( FrontOf ( d , b ) | FrontOf ( c , b ) )"
Neither D nor C is in front of either C or B,"~ FrontOf ( c , c ) & ~ FrontOf ( d , c ) & ~ FrontOf ( c , b ) & ~ FrontOf ( d , b )"
